,0
2019,0.9039441006146833
2020,0.9061856508676639
2021,0.9046366823496071
2022,0.9051976994657717
2023,0.9119382887688657
2024,0.9056306024367186
2025,0.910391566802732
2026,0.9031501499676567
2027,0.9038314335972447
2028,0.9028924946718054
2029,0.9084962736548018
2030,0.9090480199566379
2031,0.9069666260239698
2032,0.9198496335739734
2033,0.9237894929643145
2034,0.9222899825476668
2035,0.9275993045407639
2036,0.9063475942567648
2037,0.9234543178641302
2038,0.9140531330320769
2039,0.9151504630697013
2040,0.9213630983794073
2041,0.8983910678317405
2042,0.9100930467000984
2043,0.9179628887234227
2044,0.914891834780787
2045,0.928290543926766
2046,0.9308574527550934
2047,0.9335206994199238
2048,0.9378599150342106
2049,0.9366351191533697
2050,0.9478401777309203
2051,0.9370986505036819
2052,0.9366224728445555
2053,0.9300458686592274
2054,0.9360863195578268
2055,0.9480611067612527
2056,0.9541324396729718
2057,0.964298297776376
2058,0.9551450798218654
2059,0.9550937719516659
2060,0.951824159714389
2061,0.9512537452132697
2062,0.9386113992129136
2063,0.9295375592003525
2064,0.9306451750387291
2065,0.9445568985972742
2066,0.9459683556067597
2067,0.9448860828611639
2068,0.9448024589216225
2069,0.9430954807583741
2070,0.9430271448236178
2071,0.9502016097022111
2072,0.9417937007746607
2073,0.9548798401008725
2074,0.941584534558591
2075,0.9321954542169997
2076,0.9300738728587988
2077,0.9264937615333794
2078,0.9265362403248326
2079,0.9068412208487814
2080,0.8973614525753161
2081,0.898171460957395
2082,0.9018191357140487
2083,0.9069020133713411
2084,0.9091239576227131
2085,0.9111826810086273
2086,0.9044449587915367
2087,0.8982470174473957
2088,0.9119885326214564
2089,0.9050504339984898
2090,0.9114743233792874
2091,0.9091475926781216
2092,0.92039245595381
2093,0.9348466633035991
2094,0.9330965039017426
2095,0.926024608823842
2096,0.9472779257714538
2097,0.9614061727968432
2098,0.9633456045171221
2099,0.9575220475917535
